amount,time,transaction_count_24h,avg_amount_24h,merchant_type,transaction_type,device_type,location_type,is_international
2200,20.8,6,1700,electronics,online,desktop,different_city,0
150,16.2,2,140,grocery,POS,mobile,same_city,0
45000,3.5,19,7000,travel,online,desktop,international,1
3200,21.7,8,2500,electronics,online,desktop,different_city,0
80,14.5,1,100,grocery,POS,mobile,same_city,0
30000,1.7,16,4000,electronics,online,mobile,international,1
2600,21.9,7,2000,travel,online,mobile,different_city,0
120,11.2,2,150,food,POS,mobile,same_city,0
18000,2.5,14,2500,travel,online,desktop,international,1
5000,18.0,9,2500,electronics,online,desktop,different_city,0
2400,20.2,6,1900,electronics,online,desktop,different_city,0
160,13.6,2,170,grocery,POS,mobile,same_city,0
35000,4.0,18,5000,travel,online,desktop,international,1
2800,22.6,7,2100,travel,online,mobile,different_city,0
200,13.0,3,180,food,POS,desktop,same_city,0
40000,2.3,17,6000,electronics,online,mobile,international,1
7200,21.0,9,3500,electronics,online,desktop,different_city,0
300,12.1,3,250,food,POS,desktop,same_city,0
22000,0.8,15,3000,electronics,online,mobile,international,1
6500,19.2,10,3000,travel,online,mobile,different_city,0
180,17.3,3,150,grocery,POS,mobile,same_city,0
42000,3.2,18,7000,electronics,online,mobile,international,1
3000,22.0,8,2000,electronics,online,desktop,different_city,0
85,18.3,2,110,grocery,POS,mobile,same_city,0
52000,1.5,20,8200,travel,online,desktop,international,1
2500,21.3,7,1800,travel,online,mobile,different_city,0
400,15.4,4,300,grocery,POS,mobile,same_city,0
38000,2.8,16,6500,travel,online,desktop,international,1
8100,22.5,11,4000,travel,online,mobile,different_city,0
25000,3.1,13,3500,travel,online,desktop,international,1
2000,20.5,6,1500,electronics,online,desktop,different_city,0
220,14.9,2,210,food,POS,desktop,same_city,0
48000,3.8,19,7500,electronics,online,mobile,international,1
1800,19.5,5,1400,travel,online,mobile,different_city,0
90,17.4,2,120,grocery,POS,mobile,same_city,0
46000,2.6,17,7200,travel,online,desktop,international,1
300,15.3,3,200,food,POS,mobile,different_city,0
10200,21.2,8,400,electronics,online,desktop,different_city,0
65,12.3,1,100,grocery,POS,mobile,same_city,0
21000,3.0,15,800,travel,online,desktop,international,1
320,15.6,3,210,food,POS,mobile,different_city,0
12500,1.4,11,650,electronics,online,desktop,international,1
95,18.1,2,130,grocery,POS,mobile,same_city,0
20000,3.2,14,780,travel,online,desktop,international,1
410,16.1,4,250,food,POS,desktop,different_city,0
9800,22.0,9,450,electronics,online,desktop,different_city,0
70,11.6,1,90,grocery,POS,mobile,same_city,0
16000,2.8,13,700,travel,online,mobile,international,1
14000,1.5,10,650,electronics,online,desktop,international,1
90,17.5,2,120,grocery,POS,mobile,same_city,0
7000,21.5,6,3000,electronics,online,mobile,different_city,0
8500,22.2,7,3500,travel,online,desktop,different_city,0
6000,20.8,5,2800,electronics,online,mobile,different_city,0
7500,23.0,6,3200,travel,online,desktop,different_city,0
9000,21.0,7,4000,electronics,online,mobile,different_city,0
